Unnamed: 0, Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Inbound,Label
0,60675,80,6,5220876,12,9,1928,4290,509,0,160.6666667,237.8782474,1073,0,476.6666667,565.2572423,1190.987873,4.022313497,261043.8,1117421.478,5004919,2,215957,19632.45455,57799.7969,192825,2,5220754,652594.25,1759944.288,5005096,3,0,0,0,0,400,304,2.298464855,1.723848641,0,1073,282.6363636,424.0285868,179800.2424,0,0,0,0,1,0,0,0,0,296.0952381,160.6666667,476.6666667,400,0,0,0,0,0,0,12,1928,9,4290,65535,243,4,32,0,0,0,0,0,0,0,0,1,1
7,60676,80,6,12644252,5,2,0,0,0,0,0,0,0,0,0,0,0,0.553611238,2107375.333,5161910.001,12644080,1,12644252,3161063,6322011.334,12644080,1,1,1,0,1,1,0,0,0,0,176,80,0.395436598,0.158174639,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,176,0,0,0,0,0,0,5,0,2,0,65535,28960,0,32,0,0,0,0,0,0,0,0,1,1
12858,443,50458,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0,0,0,0,0,0,0,0,1,0
10191,443,50465,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0,0,0,0,0,0,0,0,1,0
239,0,0,0,114329232,52,0,0,0,0,0,0,0,0,0,0,0,0,0.454826811,2241749.647,4083247.485,9950741,1,114329232,2241749.647,4083247.485,9950741,1,0,0,0,0,0,0,0,0,0,0,0,0.454826811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,-1,-1,0,0,7.416666667,2.466441431,15,6,9527428,248706.6813,9950741,9092248,0,0
64,56085,80,6,34847273,9,8,8,0,1,0,0.888888889,0.333333333,0,0,0,0,0.229573201,0.487843052,2177954.563,4053643.362,10014717,2,34847273,4355909.125,4969564.114,10047743,2,30112039,4301719.857,5365186.353,10047681,2,0,0,0,0,180,256,0.258269851,0.229573201,0,1,0.5,0.514495755,0.264705882,0,0,0,0,0,1,0,0,0,0.529411765,0.888888889,0,180,0,0,0,0,0,0,9,8,8,0,258,254,7,20,33004,32.90896534,33030,32967,10004347,8980.692846,10014717,9999149,0,0
255,56131,443,6,119842965,29,30,5844,876,2910,0,201.5172414,641.5538403,438,0,29.2,111.1241617,56.07337903,0.492310917,2066258.017,4067620.67,10011533,1,119822230,4279365.357,5027727.725,10032312,2,119822203,4131800.103,5005460.232,10032273,1,0,0,0,0,580,888,0.241983332,0.250327585,0,2910,112.0166667,457.2031589,209034.7285,0,0,0,0,0,1,0,0,1,113.9152542,201.5172414,29.2,580,0,0,0,0,0,0,29,5844,30,876,251,579,26,20,25060.83333,14940.53578,72503,20578,9960124.833,155305.4047,10011533,9469830,0,0
69,56123,80,6,35613140,9,8,8,0,1,0,0.888888889,0.333333333,0,0,0,0,0.224636188,0.477351899,2225821.25,4091558.705,10004237,2,35613140,4451642.5,4983238.3,10032178,2,30096571,4299510.143,5362428.177,10032289,2,0,0,0,0,180,256,0.252715711,0.224636188,0,1,0.5,0.514495755,0.264705882,0,0,0,0,0,1,0,0,0,0.529411765,0.888888889,0,180,0,0,0,0,0,0,9,8,8,0,256,290,7,20,27931,13.52774926,27944,27917,10004212.67,38.73413654,10004237,10004168,0,0
68,56133,443,6,35550443,11,8,114,0,53,0,10.36363636,21.08209063,0,0,0,0,3.206711095,0.534451849,1975024.611,3906306.935,10014706,1,35550443,3555044.3,4779373.288,10047799,1,30127571,4303938.714,5367954.092,10047756,2,0,0,0,0,220,256,0.309419492,0.225032358,0,53,5.75,16.1664858,261.3552632,0,0,0,0,0,1,0,0,0,6.052631579,10.36363636,0,220,0,0,0,0,0,0,11,114,8,0,256,17358,9,20,33102,37.21110945,33135,33052,8854508,2309859.038,10014706,5389737,0,0
5,53948,80,6,5008872,8,7,754,2146,377,0,94.25,174.5170888,1073,0,306.5714286,523.5703891,578.9726709,2.994686229,357776.5714,1337536.102,5004906,2,3966,566.5714286,1130.933222,3079,2,5008774,834795.6667,2042987.216,5005025,2,0,0,0,0,272,240,1.597165989,1.39752024,0,1073,181.25,370.7012274,137419.4,0,0,0,0,1,0,0,0,0,193.3333333,94.25,306.5714286,272,0,0,0,0,0,0,8,754,7,2146,65535,235,2,32,0,0,0,0,0,0,0,0,1,1
